epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.888,1.22801,1.55374,1.20788,0.95137,0.91932,0.94913,0.58666,1.26462,0.80757,1.20859,0.00333082,0.00333082,0.00333082
2,257.418,1.21559,0.83191,1.19875,0.96605,0.92101,0.95753,0.55748,1.4463,0.72724,1.329,0.0065322,0.0065322,0.0065322
3,381.52,1.25985,0.79392,1.24911,0.95499,0.8879,0.93055,0.53981,1.44608,0.74762,1.35974,0.00960158,0.00960158,0.00960158
4,505.163,1.26576,0.77783,1.26603,0.94456,0.89681,0.94283,0.54042,1.52426,0.68614,1.41619,0.009406,0.009406,0.009406
5,625.349,1.23581,0.71945,1.25013,0.95941,0.90911,0.95092,0.60878,1.30477,0.60757,1.28731,0.009208,0.009208,0.009208
6,743.058,1.20604,0.67887,1.22994,0.96176,0.91745,0.96261,0.60833,1.33886,0.57827,1.28307,0.00901,0.00901,0.00901
7,860.468,1.1862,0.65149,1.2232,0.96534,0.92636,0.9641,0.63251,1.26026,0.5437,1.24911,0.008812,0.008812,0.008812
8,978.31,1.17242,0.63256,1.21495,0.97015,0.93199,0.96739,0.64395,1.23308,0.53271,1.21389,0.008614,0.008614,0.008614
9,1095.7,1.15894,0.61627,1.20835,0.97069,0.93386,0.97031,0.63564,1.25826,0.5132,1.24576,0.008416,0.008416,0.008416
10,1213.38,1.14486,0.59798,1.19732,0.97522,0.94154,0.97059,0.65706,1.19239,0.48261,1.20108,0.008218,0.008218,0.008218
11,1331.27,1.13695,0.58542,1.19274,0.97038,0.94278,0.96923,0.64975,1.23231,0.48614,1.21545,0.00802,0.00802,0.00802
12,1448.94,1.12789,0.58128,1.18723,0.97099,0.94181,0.97499,0.65315,1.22908,0.48441,1.22187,0.007822,0.007822,0.007822
13,1566.72,1.11725,0.57195,1.18165,0.97226,0.94606,0.97542,0.66951,1.1569,0.45515,1.1776,0.007624,0.007624,0.007624
14,1684.52,1.1085,0.56088,1.17339,0.9723,0.94278,0.97569,0.66705,1.18602,0.45378,1.19487,0.007426,0.007426,0.007426
15,1802.41,1.1028,0.55293,1.17144,0.96974,0.95356,0.97754,0.67777,1.14548,0.44301,1.17094,0.007228,0.007228,0.007228
16,1919.99,1.09582,0.54346,1.16266,0.97049,0.95627,0.9785,0.67611,1.16138,0.43956,1.17036,0.00703,0.00703,0.00703
17,2037.72,1.08152,0.53435,1.15701,0.97209,0.94765,0.97834,0.68488,1.12903,0.43222,1.15926,0.006832,0.006832,0.006832
18,2155.48,1.07877,0.52638,1.15717,0.96394,0.95288,0.9765,0.68321,1.12891,0.43485,1.15685,0.006634,0.006634,0.006634
19,2270.58,1.07887,0.52636,1.1562,0.96367,0.9579,0.97885,0.68851,1.13043,0.42842,1.16058,0.006436,0.006436,0.006436
20,2385.95,1.06405,0.51741,1.14903,0.97375,0.95698,0.97908,0.6884,1.12752,0.4204,1.15259,0.006238,0.006238,0.006238
21,2501.04,1.0591,0.51402,1.14625,0.97423,0.95872,0.9817,0.69462,1.11237,0.4061,1.14718,0.00604,0.00604,0.00604
22,2616.34,1.05953,0.5064,1.14694,0.97939,0.95544,0.98187,0.69319,1.11851,0.40524,1.14896,0.005842,0.005842,0.005842
23,2731.59,1.05187,0.50123,1.14175,0.96872,0.96295,0.98145,0.69023,1.12272,0.40266,1.15547,0.005644,0.005644,0.005644
24,2849.94,1.04474,0.49753,1.1353,0.97046,0.96529,0.98146,0.69275,1.1172,0.39826,1.15259,0.005446,0.005446,0.005446
25,2971.23,1.03788,0.49254,1.13271,0.9751,0.96013,0.9811,0.69289,1.11856,0.39713,1.15305,0.005248,0.005248,0.005248
26,3089.35,1.03077,0.48775,1.12533,0.97248,0.96116,0.98108,0.69693,1.10712,0.39181,1.14589,0.00505,0.00505,0.00505
27,3213.09,1.03308,0.48253,1.13414,0.97747,0.96107,0.98266,0.69783,1.10781,0.39188,1.14754,0.004852,0.004852,0.004852
28,3332.38,1.01905,0.47634,1.12219,0.98315,0.95793,0.983,0.70206,1.10451,0.3894,1.1449,0.004654,0.004654,0.004654
29,3451.37,1.02383,0.47434,1.12754,0.97945,0.96131,0.98219,0.70152,1.10002,0.38604,1.1431,0.004456,0.004456,0.004456
30,3569.3,1.01573,0.4708,1.12086,0.97499,0.96295,0.9827,0.7001,1.10368,0.3867,1.14665,0.004258,0.004258,0.004258
31,3687.96,1.00882,0.4659,1.11689,0.97572,0.96143,0.98312,0.69962,1.10347,0.38651,1.1437,0.00406,0.00406,0.00406
32,3806.18,1.00589,0.46242,1.1131,0.97569,0.96201,0.98169,0.7003,1.10276,0.38334,1.14261,0.003862,0.003862,0.003862
33,3924.24,0.99766,0.45296,1.11251,0.97855,0.96298,0.98247,0.7022,1.10161,0.38014,1.14004,0.003664,0.003664,0.003664
34,4041,0.99314,0.44941,1.10632,0.97316,0.96717,0.98349,0.70296,1.1028,0.37804,1.14052,0.003466,0.003466,0.003466
35,4159.53,0.9866,0.44658,1.10559,0.98035,0.95939,0.98344,0.7017,1.10436,0.3773,1.14142,0.003268,0.003268,0.003268
36,4276.45,0.98182,0.4398,1.10002,0.98316,0.95919,0.98324,0.70205,1.10292,0.37528,1.14089,0.00307,0.00307,0.00307
37,4394.95,0.97203,0.43823,1.09696,0.97808,0.96265,0.98235,0.70146,1.09998,0.37343,1.14022,0.002872,0.002872,0.002872
38,4512.86,0.97163,0.4305,1.09546,0.97809,0.96329,0.98283,0.70302,1.10075,0.37305,1.13954,0.002674,0.002674,0.002674
39,4631.62,0.96411,0.42537,1.09343,0.9767,0.96388,0.98248,0.70254,1.10097,0.37142,1.14024,0.002476,0.002476,0.002476
40,4749.59,0.96555,0.42396,1.09307,0.97688,0.96435,0.98296,0.7021,1.1014,0.37149,1.1403,0.002278,0.002278,0.002278
41,4867.11,0.94783,0.3614,1.11145,0.97617,0.96435,0.9822,0.70275,1.10051,0.37027,1.13941,0.00208,0.00208,0.00208
42,4984.35,0.93958,0.35505,1.11052,0.97604,0.96529,0.98229,0.70377,1.10017,0.37028,1.13877,0.001882,0.001882,0.001882
